country,W1,W2,W3,W4
United Arab Emirates,9.4175,10.49833333,11.6,12.5
United Kingdom,11.9,12.61666667,13.42,14.12
United States,12.25,12.4,12.8,13.38
Uruguay,9.2475,9.783333333,10.46,11.18
Uzbekistan,9.72,10.41666667,11.22,11.98
Vanuatu,6.6425,7.383333333,8.242,9.064
Venezuela,8.9,9.686666667,10.58,11.4
Vietnam,7.24,8.003333333,8.888,9.736
Yemen,1.8275,2.31,2.868,3.41
Zambia,5.455,6.056666667,6.782,7.504
Zimbabwe,7.8425,8.588333333,9.45,10.266
